epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1346.44,1.22786,0.79809,1.3604,0.94302,0.59489,0.63779,0.39563,1.37341,0.74728,1.49879,0.000885751,0.000885751,0.000885751
98,1357.91,1.2175,0.78328,1.34471,0.93458,0.59233,0.63613,0.40166,1.34436,0.71033,1.47163,0.000880093,0.000880093,0.000880093
99,1369.34,1.21604,0.77607,1.33276,0.9374,0.60194,0.63308,0.4089,1.24311,0.67747,1.41547,0.000874434,0.000874434,0.000874434
100,1380.84,1.19183,0.77495,1.33075,0.94986,0.58038,0.62949,0.39944,1.33801,0.71348,1.48164,0.000868775,0.000868775,0.000868775
101,1392.34,1.23634,0.78677,1.34605,0.94578,0.59883,0.63991,0.40341,1.33384,0.71434,1.45431,0.000863116,0.000863116,0.000863116
102,1403.83,1.22168,0.77609,1.33461,0.60393,0.72301,0.65027,0.42623,1.28161,0.76837,1.41146,0.000857457,0.000857457,0.000857457
103,1415.56,1.21043,0.76343,1.32859,0.95354,0.57947,0.63026,0.40779,1.27299,0.72687,1.41205,0.000851798,0.000851798,0.000851798
104,1428.35,1.19745,0.75071,1.32373,0.96194,0.59037,0.65348,0.43259,1.25807,0.67387,1.42214,0.000846139,0.000846139,0.000846139
105,1439.71,1.21284,0.75316,1.33707,0.94518,0.608,0.64434,0.43101,1.25557,0.6497,1.39198,0.000840481,0.000840481,0.000840481
106,1450.98,1.18855,0.74042,1.31686,0.95672,0.58761,0.64352,0.41987,1.24778,0.67469,1.40413,0.000834822,0.000834822,0.000834822
107,1462.33,1.2027,0.76682,1.34842,0.95845,0.5935,0.63326,0.41099,1.28984,0.69173,1.43287,0.000829163,0.000829163,0.000829163
108,1473.7,1.18388,0.75406,1.31273,0.93988,0.59977,0.62887,0.41338,1.23222,0.7113,1.3908,0.000823504,0.000823504,0.000823504
109,1485.07,1.1845,0.74656,1.316,0.94144,0.59845,0.63646,0.40948,1.26506,0.66979,1.40494,0.000817845,0.000817845,0.000817845
110,1496.46,1.17319,0.74808,1.30371,0.95252,0.60768,0.6372,0.41833,1.2375,0.64419,1.38577,0.000812186,0.000812186,0.000812186
111,1507.78,1.18402,0.76732,1.32129,0.94488,0.61283,0.6377,0.41318,1.29393,0.6634,1.4372,0.000806528,0.000806528,0.000806528
